Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-1.0,1748.5,USD,174850.0(1),-2.47,-52.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-1.0,1748.5,USD,174850.0(1),-2.47,-52.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,1.0,1770.0,USD,-177000.0(1),-2.47,-2102.47
Transaction History,Data,2026-02-11,DUO116877,GC MAR26 5300 C,Buy,OGH6 C5300,1.0,39.5,USD,-3950.0,-2.52,-3952.52
Transaction History,Data,2026-02-11,DUO116877,GC MAY26 5150 C,Buy,OGK6 C5150,9.0,228.5,USD,-205650.0,-22.68,-205672.68
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-2.0,1750.0,USD,350000.0(1),-4.94,195.06
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-3.0,1748.5,USD,524550.0(1),-7.41,-157.41
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-1.0,1748.5,USD,174850.0(1),-2.47,-52.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,1.0,1770.0,USD,-177000.0(1),-2.47,-2102.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,1.0,1770.0,USD,-177000.0(1),-2.47,-2102.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,2.0,1770.0,USD,-354000.0(1),-4.94,-4204.94
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,2.0,1770.0,USD,-354000.0(1),-4.94,-4204.94
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,1.0,1770.0,USD,-177000.0(1),-2.47,-2102.47
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2178.3,USD,108915.00000000001(1),-2.47,1627.53
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2178.3,USD,108915.00000000001(1),-2.47,1627.53
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-2.0,2178.3,USD,217830.00000000003(1),-4.94,3255.06
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Buy,PAJ6,2.0,1770.0,USD,-354000.0(1),-4.94,-4204.94
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2178.3,USD,108915.00000000001(1),-2.47,1627.53
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2178.3,USD,108915.00000000001(1),-2.47,1627.53
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-2.0,2178.3,USD,217830.00000000003(1),-4.94,3255.06
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Buy,PLJ6,1.0,2190.0,USD,-109500.0(1),-2.47,-2217.47
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Buy,PLJ6,4.0,2190.0,USD,-438000.0(1),-9.88,-8869.88
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Buy,PLJ6,2.0,2190.0,USD,-219000.0(1),-4.94,-4434.94
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2180.4,USD,109020.0(1),-2.47,1732.53
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Sell,PLJ6,-1.0,2178.3,USD,108915.00000000001(1),-2.47,1627.53
Transaction History,Data,2026-02-11,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,1000.0,-,1000.0
Transaction History,Data,2026-02-11,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-2171.1549999999997,-,-2171.1549999999997
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Buy,PLJ6,2.0,2190.0,USD,-219000.0(1),-4.94,-4434.94
Transaction History,Data,2026-02-11,DUO116877,PL 28APR26,Buy,PLJ6,1.0,2190.0,USD,-109500.0(1),-2.47,-2217.47
Transaction History,Data,2026-02-10,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-4141.6375,-,-4141.6375
Transaction History,Data,2026-02-10,DUO116877,ZS 14MAY26,Buy,ZSK6,10.0,11.275,USD,-563750.0(1),-30.0,4970.0
Transaction History,Data,2026-02-10,DUO116877,CC MAY26 4500 C,Buy,COK6 C4500,10.0,144.0,USD,-14400.0,-29.7,-14429.7
Transaction History,Data,2026-02-10,DUO116877,ZS JUN26 11.4 C,Buy,OZSM6 C1140,15.0,0.41,USD,-30750.0,-45.15,-30795.15
Transaction History,Data,2026-02-10,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,25840.39,-,25840.39
Transaction History,Data,2026-02-10,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-25840.39,-,-25840.39
Transaction History,Data,2026-02-09,DUO116877,CC MAY26 4500 C,Sell,COK6 C4500,-10.0,210.0,USD,21000.0,-29.7,20970.3
